Product Name,SIZE,COLOUR,Brand,Category,Details ,SELLING PRICE INCLUDING GST ( Y / N ),Discount ,title
ST 312 - Gold,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Gold,TAGS,Partywear / Slides,"Upper Material - Synthetic 
Heel Type - Block
Heel Height - 2.5  
Colour - Gold
Sole - Metro",3395,,women stylish fancy comfortable Golden block heels 
ST 312 - Peach,"36 - 1
37 - 2
38 -1
39 - 2
40 - 2
41 - 0",Peach,TAGS,Partywear / Slides,"Upper Material - Synthetic 
Heel Type - Block
Heel Height - 2.5  
Colour - Peach
Sole - Metro",3395,,women stylish fancy comfortable peach block heels 
ST 350 - Pink,"36 - 1
37 - 1
38 - 0
39 - 2
40 - 1
41 - 0",Pink,TAGS,,"Upper Material - Synthetic 
Heel Type - Block
Heel Height - 3  
Colour - Pink
Sole - Metro",2785,,Women Pink Strap Block heel
ST 350 - Black,"36 - 1
37 - 2
38 - 1
39 - 2
40 - 2
41 - 1",Black,TAGS,ST,"Upper Material - Synthetic 
Heel Type - Block
Heel Height - 3  
Colour - Black
Sole - Metro",2785,,Women Black Strap Block heel
ST 350 - White,"36 - 1
37 - 2
38 - 1
39 - 1
40 - 2
41 - 1",White,TAGS,ST,"Upper Material - Synthetic 
Heel Type - Block
Heel Height - 3  
Colour - White
Sole - Metro",2785,,Women White Strap Block heel
353 - Black,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 1
41 - 1",Black,TAGS,ST,"Upper Material - Synthetic 
Heel Type - Block
Heel Height -2  
Colour - Black
Sole - Metro",2625,,Women black ankle strap Block Heels (353)
353 - White,"36 - 0
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",White,TAGS,ST,"Upper Material - Synthetic 
Heel Type - Block
Heel Height -2  
Colour - White
Sole - Merto",2625,,Women white ankle strap Block Heels (353)
353 - Chique,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 1
41 - 1",Chique,TAGS,ST,"Upper Material - Synthetic 
Heel Type - Block
Heel Height -2  
Colour - Chique
Sole - Metro",2625,,Women Chique ankle strap Block Heels (353)
K-23-811 - N Blue,"36 - 0
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",N Blue,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA 
Colour - N Blue
Sole - TPR",3235,,Women Blue Round-Toe Ballerinas with Braided Hem 
K-23-811 - Rust,"36 - 0
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Rust,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA 
Colour - Rust
Sole - TPR",3235,,Women Rust Round-Toe Ballerinas with Braided Hem 
K-23-811 - O Green,"36 - 1
37 - 2
38 - 1
39 - 2
40 - 2
41 - 1",O Green,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA 
Colour - O Green
Sole - TPR",3235,,Women Green Round-Toe Ballerinas with Braided Hem 
K-23-290 - Brownx,"36 - 1
37 - 1
38 - 2
39 - 0
40 - 2
41 - 1",Brownx,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA 
Colour - Brownx
Sole - TPR",3235,,Brown Double Shaded flat Sandals
